serial_number,thumbprint,subject_cn,issuer_cn,Reason
58af00ce542760fc116b41fa92e18589,620dafea381ab657e0335321ca5a95077f33021927a32d5d62bff7e33704f4b7,DICKIE MUSDALE WINDFARM LIMITED,Sectigo Public Code Signing CA R36,Quakbot
5b1f9ec88d185631ab032dbfd5166c0d,a46234c01e9f9904e500aefad4b5718d86aaec4e084b3d8ffbfe5724f8ddda45,TOPFLIGHT GROUP LIMITED,Sectigo Public Code Signing CA R36,Quakbot
ff52eb011bb748fee75153cbe1e50dd6,c75025c80ab583a6ab87070e5b65c93cb59b48e0cbb5f99113e354a96f8fcd39,TASK ANNA LIMITED,Sectigo Public Code Signing CA R36,Quakbot
eda0f47b3b38e781cdf6ef6be5d3f6ee,1ef38b7c430c09062f4408c47da14d814be5e2e99749e65a2cf097f5610024fc,ADVANCED ACCESS SERVICES LTD,Sectigo Public Code Signing CA R36,Matanbuchus
4728189fa0f57793484cdf764f5e283d,89ff94ac1c577eced3afc9a81689d30ca238a8472ad0f025f6bed57a98dbb273,Power Save Systems s.r.o.,Sectigo Public Code Signing CA R36,Quakbot
24e4a2b3db6be1007b9ddc91995bc0c8,005af6c8e9f06a2258c2df70785a5622c8d10d982fdc7f4dbe2f53af6e860359,FLY BETTER s.r.o.,Sectigo Public Code Signing CA R36,Quakbot
0772b4d1d63233d2b8771997bc8da5c4,c6a78692f2fda8908933fb3f1df68592eb5da129caafd33329d1b804006973f7,Maya logistika d.o.o.,DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1,IcedID
1deea179f5757fe529043577762419df,9c4e87ccd6004a70115f8e654b8cc1a80d488876ff2e4e7db598303fa41b3fef,SPIRIT CONSULTING s. r. o.,Sectigo Public Code Signing CA R36,Quakbot
061a27a3a3771bb440fc16cadf2675c4,9ed703ba7033af5f88a5f5ef0155adc41715d3175eec836822a09a93d56e4b7f,"Westeast Tech Consulting, Corp.",DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1,Matanbuchus
06675181e7b5e1030b3d40926e2a47d3,b617253b3695fd498d645bd8278d1bdae2bc36bd4da713c6938e3fe6b0cdb9a4,ORANGE VIEW LIMITED,DigiCert EV Code Signing CA,NetWire
